a0,a3
a0,a20
a3,a1
a3,a2
a3,a4
a3,a5
a3,a6
a3,a7
a3,a8
a3,a10
a3,a11
a3,a14
a3,a16
a3,a17
a3,a19
a3,a21
a3,a22
a3,a23
a3,a25
a3,a26
a3,a33
a3,a40
a3,a61
a3,a64
a3,a69
a3,a71
a3,a83
a3,a84
a3,a85
a3,a89
a3,a90
a20,a4
a20,a9
a20,a81
a20,a84
a1,a4
a1,a5
a1,a6
a1,a7
a1,a10
a1,a11
a1,a13
a1,a16
a1,a18
a1,a24
a1,a28
a1,a30
a1,a50
a1,a58
a1,a70
a1,a72
a1,a75
a1,a81
a1,a91
a1,a94
a4,a2
a4,a5
a4,a6
a4,a7
a4,a8
a4,a11
a4,a12
a4,a18
a4,a19
a4,a21
a4,a23
a4,a25
a4,a27
a4,a31
a4,a35
a4,a39
a4,a40
a4,a41
a4,a43
a4,a49
a4,a50
a4,a62
a4,a67
a4,a74
a4,a79
a4,a80
a4,a89
a4,a99
a5,a9
a5,a12
a5,a14
a5,a17
a5,a23
a5,a24
a5,a28
a5,a31
a5,a32
a5,a35
a5,a36
a5,a53
a5,a56
a5,a65
a5,a78
a5,a82
a5,a88
a5,a91
a6,a13
a6,a48
a6,a70
a7,a8
a7,a9
a7,a10
a7,a13
a7,a15
a7,a16
a7,a17
a7,a22
a7,a27
a7,a29
a7,a32
a7,a37
a7,a43
a7,a48
a7,a52
a7,a59
a7,a66
a7,a69
a7,a75
a7,a77
a7,a82
a7,a85
a10,a12
a11,a63
a11,a76
a13,a14
a13,a26
a13,a28
a13,a55
a16,a19
a16,a46
a16,a52
a16,a57
a16,a58
a16,a73
a16,a81
a18,a14
a24,a8
a24,a36
a24,a53
a28,a51
a30,a9
a30,a12
a30,a69
a50,a15
a58,a57
a58,a61
a70,a31
a70,a99
a72,a27
a72,a57
a72,a77
a72,a97
a75,a56
a75,a80
a75,a86
a91,a56
a94,a8
a94,a74
a2,a9
a2,a36
a2,a71
a2,a88
a2,a93
a9,a15
a9,a21
a9,a34
a9,a62
a9,a66
a9,a73
a36,a45
a36,a57
a36,a67
a36,a86
a36,a96
a71,a15
a71,a74
a71,a84
a88,a31
a93,a40
a93,a84
a8,a29
a8,a44
a8,a47
a8,a51
a8,a55
a8,a60
a8,a62
a8,a68
a8,a76
a8,a85
a14,a29
a14,a39
a14,a42
a14,a54
a14,a89
a17,a34
a17,a38
a17,a63
a17,a78
a17,a87
a19,a52
a19,a83
a21,a33
a21,a35
a21,a38
a22,a12
a22,a31
a22,a33
a22,a39
a22,a46
a22,a53
a22,a57
a22,a60
a22,a61
a22,a92
a23,a68
a23,a86
a25,a15
a25,a26
a25,a27
a25,a43
a25,a76
a25,a95
a26,a34
a26,a55
a33,a44
a40,a38
a40,a41
a40,a45
a40,a79
a64,a46
a64,a56
a64,a98
a83,a43
a83,a95
a90,a12
a90,a86
a12,a15
a12,a37
a12,a41
a12,a49
a12,a63
a12,a65
a12,a66
a12,a92
a27,a38
a27,a56
a31,a32
a31,a46
a31,a51
a35,a59
a35,a73
a39,a42
a39,a87
a39,a97
a41,a47
a43,a56
a43,a80
a49,a48
a49,a67
a74,a53
a79,a15
a99,a68
a32,a37
a32,a42
a32,a44
a32,a45
a32,a65
a32,a98
a53,a77
a56,a78
a82,a46
a48,a15
a48,a87
a15,a68
a29,a95
a59,a47
a59,a92
a44,a47
a44,a54
a51,a54
a60,a54
a46,a96
a46,a98
a86,a96
a86,a97
